model,route,scenario,run,leg,seg,ok,total,dist,drive,wait
sa4r2,c27,dynamic,1,去,c28→c27,True,83.0,16.28,23.13,59.870000000000005
sa4r2,c27,dynamic,1,回,c27→c28,True,26.4,17.6,26.3,0.09999999999999787
sa4r2,c27,dynamic,2,去,c28→c27,True,83.1,16.67,23.83,59.269999999999996
sa4r2,c27,dynamic,2,回,c27→c28,True,26.8,18.03,26.7,0.10000000000000142
sa4r2,c27,dynamic,3,去,c28→c27,True,25.5,17.36,25.4,0.10000000000000142
sa4r2,c27,dynamic,3,回,c27→c28,True,28.1,18.73,28.0,0.10000000000000142
sa4r2,c27,dynamic,4,去,c28→c27,True,91.2,19.18,29.93,61.27
sa4r2,c27,dynamic,4,回,c27→c28,True,29.0,18.49,28.9,0.10000000000000142
sa4r2,c27,mixed,1,去,c28→c27,True,24.5,16.56,24.4,0.10000000000000142
sa4r2,c27,mixed,1,回,c27→c28,True,27.0,17.83,26.9,0.10000000000000142
sa4r2,c27,mixed,2,去,c28→c27,True,81.8,17.17,24.87,56.92999999999999
sa4r2,c27,mixed,2,回,c27→c28,True,27.7,18.73,27.6,0.09999999999999787
sa4r2,c27,mixed,3,去,c28→c27,True,39.9,21.59,39.8,0.10000000000000142
sa4r2,c27,mixed,3,回,c27→c28,True,45.1,25.43,45.0,0.10000000000000142
sa4r2,c27,mixed,4,去,c28→c27,True,30.0,20.62,29.9,0.10000000000000142
sa4r2,c27,mixed,4,回,c27→c28,True,42.3,22.69,42.2,0.09999999999999432
sa4r2,c27,static,1,去,c28→c27,True,24.7,16.75,24.6,0.09999999999999787
sa4r2,c27,static,1,回,c27→c28,True,26.3,18.07,26.3,0.0
sa4r2,c27,static,2,去,c28→c27,True,81.3,16.46,23.6,57.699999999999996
sa4r2,c27,static,2,回,c27→c28,True,26.2,18.12,26.1,0.09999999999999787
sa4r2,c27,static,3,去,c28→c27,True,24.9,16.84,24.67,0.22999999999999687
sa4r2,c27,static,3,回,c27→c28,True,29.2,19.0,29.1,0.09999999999999787
sa4r2,c27,static,4,去,c28→c27,True,25.1,16.96,25.0,0.10000000000000142
sa4r2,c27,static,4,回,c27→c28,True,52.2,26.82,52.1,0.10000000000000142
sa4r2,c36,dynamic,1,去,c28→c36,True,30.2,18.78,26.3,3.8999999999999986
sa4r2,c36,dynamic,1,回,c36→c28,True,31.6,21.64,31.5,0.10000000000000142
sa4r2,c36,dynamic,2,去,c28→c36,True,92.2,20.73,30.07,62.13
sa4r2,c36,dynamic,2,回,c36→c28,True,32.8,22.46,32.7,0.09999999999999432
sa4r2,c36,dynamic,3,去,c28→c36,True,30.7,21.07,30.6,0.09999999999999787
sa4r2,c36,dynamic,3,回,c36→c28,True,34.5,23.49,34.4,0.10000000000000142
sa4r2,c36,dynamic,4,去,c28→c36,True,88.0,21.1,29.77,58.230000000000004
sa4r2,c36,dynamic,4,回,c36→c28,True,35.3,22.73,35.2,0.09999999999999432
sa4r2,c36,mixed,1,去,c28→c36,True,89.4,20.81,29.63,59.77000000000001
sa4r2,c36,mixed,1,回,c36→c28,True,45.7,26.67,45.6,0.10000000000000142
sa4r2,c36,mixed,2,去,c28→c36,True,31.2,21.08,31.1,0.09999999999999787
sa4r2,c36,mixed,2,回,c36→c28,True,34.5,23.75,34.4,0.10000000000000142
sa4r2,c36,mixed,3,去,c28→c36,True,34.5,23.03,34.4,0.10000000000000142
sa4r2,c36,mixed,3,回,c36→c28,True,33.0,22.96,32.9,0.10000000000000142
sa4r2,c36,mixed,4,去,c28→c36,True,30.7,21.02,30.5,0.1999999999999993
sa4r2,c36,mixed,4,回,c36→c28,True,37.0,24.55,36.9,0.10000000000000142
sa4r2,c36,static,1,去,c28→c36,True,29.9,20.55,29.8,0.09999999999999787
sa4r2,c36,static,1,回,c36→c28,True,31.5,21.5,31.5,0.0
sa4r2,c36,static,2,去,c28→c36,True,89.5,20.74,30.3,59.2
sa4r2,c36,static,2,回,c36→c28,True,32.3,22.09,32.2,0.09999999999999432
sa4r2,c36,static,3,去,c28→c36,True,30.7,20.7,29.2,1.5
sa4r2,c36,static,3,回,c36→c28,True,32.5,22.21,32.5,0.0
sa4r2,c36,static,4,去,c28→c36,True,31.0,21.38,30.9,0.10000000000000142
sa4r2,c36,static,4,回,c36→c28,True,35.5,24.29,35.4,0.10000000000000142
sa4r3,c27,dynamic,1,去,c28→c27,True,24.4,16.36,24.0,0.3999999999999986
sa4r3,c27,dynamic,1,回,c27→c28,True,25.0,17.28,24.9,0.10000000000000142
sa4r3,c27,dynamic,2,去,c28→c27,True,25.0,16.85,24.9,0.10000000000000142
sa4r3,c27,dynamic,2,回,c27→c28,True,27.3,18.34,27.3,0.0
sa4r3,c27,dynamic,3,去,c28→c27,True,88.6,17.27,26.53,62.06999999999999
sa4r3,c27,dynamic,3,回,c27→c28,True,31.4,20.64,31.3,0.09999999999999787
sa4r3,c27,dynamic,4,去,c28→c27,True,89.1,20.25,32.0,57.099999999999994
sa4r3,c27,dynamic,4,回,c27→c28,True,27.8,19.4,27.7,0.10000000000000142
sa4r3,c27,mixed,1,去,c28→c27,True,81.6,16.67,24.6,56.99999999999999
sa4r3,c27,mixed,1,回,c27→c28,True,29.2,18.66,29.1,0.09999999999999787
sa4r3,c27,mixed,2,去,c28→c27,True,84.0,17.16,24.73,59.269999999999996
sa4r3,c27,mixed,2,回,c27→c28,True,26.8,18.42,26.7,0.10000000000000142
sa4r3,c27,mixed,3,去,c28→c27,True,92.3,19.21,30.43,61.87
sa4r3,c27,mixed,3,回,c27→c28,True,40.8,26.04,40.7,0.09999999999999432
sa4r3,c27,mixed,4,去,c28→c27,True,34.9,19.16,34.8,0.10000000000000142
sa4r3,c27,mixed,4,回,c27→c28,True,52.9,27.75,52.8,0.10000000000000142
sa4r3,c27,static,1,去,c28→c27,True,85.7,16.36,23.07,62.63
sa4r3,c27,static,1,回,c27→c28,True,26.2,17.63,26.1,0.09999999999999787
sa4r3,c27,static,2,去,c28→c27,True,24.6,16.63,24.5,0.10000000000000142
sa4r3,c27,static,2,回,c27→c28,True,27.0,18.17,26.9,0.10000000000000142
sa4r3,c27,static,3,去,c28→c27,True,24.9,17.11,24.9,0.0
sa4r3,c27,static,3,回,c27→c28,True,30.1,19.19,30.0,0.10000000000000142
sa4r3,c27,static,4,去,c28→c27,True,39.8,20.0,39.1,0.6999999999999957
sa4r3,c27,static,4,回,c27→c28,True,31.3,19.13,31.2,0.10000000000000142
sa4r3,c36,dynamic,1,去,c28→c36,True,30.2,21.01,30.1,0.09999999999999787
sa4r3,c36,dynamic,1,回,c36→c28,True,31.9,22.0,31.8,0.09999999999999787
sa4r3,c36,dynamic,2,去,c28→c36,True,30.5,21.13,30.4,0.10000000000000142
sa4r3,c36,dynamic,2,回,c36→c28,True,33.9,23.2,33.9,0.0
sa4r3,c36,dynamic,3,去,c28→c36,True,30.5,21.03,30.4,0.10000000000000142
sa4r3,c36,dynamic,3,回,c36→c28,True,35.8,24.25,35.7,0.09999999999999432
sa4r3,c36,dynamic,4,去,c28→c36,True,86.7,20.08,28.3,58.400000000000006
sa4r3,c36,dynamic,4,回,c36→c28,True,34.7,23.17,34.6,0.10000000000000142
sa4r3,c36,mixed,1,去,c28→c36,True,89.5,20.99,29.73,59.769999999999996
sa4r3,c36,mixed,1,回,c36→c28,True,34.8,22.97,34.7,0.09999999999999432
sa4r3,c36,mixed,2,去,c28→c36,True,31.0,21.05,31.0,0.0
sa4r3,c36,mixed,2,回,c36→c28,True,40.4,24.3,40.3,0.10000000000000142
sa4r3,c36,mixed,3,去,c28→c36,True,32.1,21.61,31.6,0.5
sa4r3,c36,mixed,3,回,c36→c28,True,39.1,23.93,39.0,0.10000000000000142
sa4r3,c36,mixed,4,去,c28→c36,True,30.6,21.25,30.5,0.10000000000000142
sa4r3,c36,mixed,4,回,c36→c28,True,41.8,24.49,41.7,0.09999999999999432
sa4r3,c36,static,1,去,c28→c36,True,88.3,20.21,28.57,59.73
sa4r3,c36,static,1,回,c36→c28,True,30.8,21.17,30.7,0.10000000000000142
sa4r3,c36,static,2,去,c28→c36,True,30.1,20.78,30.0,0.10000000000000142
sa4r3,c36,static,2,回,c36→c28,True,31.6,21.96,31.5,0.10000000000000142
sa4r3,c36,static,3,去,c28→c36,True,30.4,20.89,30.3,0.09999999999999787
sa4r3,c36,static,3,回,c36→c28,True,32.1,22.0,32.0,0.10000000000000142
sa4r3,c36,static,4,去,c28→c36,True,87.9,21.11,30.83,57.07000000000001
sa4r3,c36,static,4,回,c36→c28,True,32.6,21.61,32.6,0.0
sa5r2,c27,dynamic,1,去,c28→c27,True,81.1,16.3,24.43,56.669999999999995
sa5r2,c27,dynamic,1,回,c27→c28,True,30.7,18.88,30.6,0.09999999999999787
sa5r2,c27,dynamic,2,去,c28→c27,True,31.4,18.38,29.7,1.6999999999999993
sa5r2,c27,dynamic,2,回,c27→c28,True,33.7,19.42,33.6,0.10000000000000142
sa5r2,c27,dynamic,3,去,c28→c27,True,41.7,21.87,41.6,0.10000000000000142
sa5r2,c27,dynamic,3,回,c27→c28,True,66.9,36.51,66.8,0.10000000000000853
sa5r2,c27,dynamic,4,去,c28→c27,True,37.4,20.64,37.2,0.19999999999999574
sa5r2,c27,dynamic,4,回,c27→c28,True,35.0,18.77,34.9,0.10000000000000142
sa5r2,c27,mixed,1,去,c28→c27,True,37.6,17.0,36.9,0.7000000000000028
sa5r2,c27,mixed,1,回,c27→c28,True,33.7,19.08,33.6,0.10000000000000142
sa5r2,c27,mixed,2,去,c28→c27,True,82.0,39.65,81.9,0.09999999999999432
sa5r2,c27,mixed,2,回,c27→c28,True,39.3,19.73,39.2,0.09999999999999432
sa5r2,c27,mixed,3,去,c28→c27,True,98.0,19.28,36.13,61.87
sa5r2,c27,mixed,3,回,c27→c28,True,50.6,25.07,50.5,0.10000000000000142
sa5r2,c27,mixed,4,去,c28→c27,True,54.2,21.27,54.1,0.10000000000000142
sa5r2,c27,mixed,4,回,c27→c28,True,33.4,20.96,33.3,0.10000000000000142
sa5r2,c27,static,1,去,c28→c27,True,82.6,16.72,26.03,56.56999999999999
sa5r2,c27,static,1,回,c27→c28,True,33.3,18.95,33.2,0.09999999999999432
sa5r2,c27,static,2,去,c28→c27,True,25.5,16.76,25.5,0.0
